NO,식품명,식품대분류,식품상세분류,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎)
228,소곱창전골,찌개 및 전골류,육류찌개.전골,600,529,41.6,27.3,29.2,2.3,1779.63
229,햄김치찌개,찌개 및 전골류,육류찌개.전골,300,189,11.1,10.4,12.7,3.6,1583.05
230,호박찌개,찌개 및 전골류,채소류찌개.전골,300,95,5.6,2.6,12.2,5.8,1024.11
231,대구찜,찜류,어패류찜,500,376.42,51.7,7.9,24.7,5.7,1898.67
232,도미찜,찜류,어패류찜,100,125.51,23,3.48,0.54,0,839.96
233,동태찜,찜류,어패류찜,500,394.32,50.9,9.7,25.8,5.7,1985.6
234,돼지등갈비찜,찜류,육류찜,450,961.04,72.1,49.2,57.4,24.1,2395.17
235,돼지머리고기,찜류,육류찜,200,650,42.4,52,3.5,0.1,333.64
236,매운갈비찜,찜류,육류찜,300,517.44,61.3,19.7,23.7,10.7,1138.51
237,문어숙회,찜류,어패류찜,80,66.91,14.86,0.5,0.73,0,208.33
238,민어찜,찜류,어패류찜,100,136.88,21.47,5.91,0,0,1089.43
239,병어찜,찜류,어패류찜,100,179.69,18.86,11.51,0.16,0,650.98
240,북어찜,찜류,어패류찜,150,235,28.1,5.7,18,6.4,900.98
241,붕어찜,찜류,어패류찜,1100,835.6,54.3,36.9,71.6,16.2,3952.03
242,소갈비찜,찜류,육류찜,250,494.6,49.86,26.96,13.14,4.32,753.63
243,순대,찜류,육류찜,300,542.42,19.56,25.64,58.36,3.5,1019.19
244,아구찜,찜류,어패류찜,400,310.87,48.3,5.31,17.47,0.69,1406.2
245,아구찜,찜류,어패류찜,750,492.32,65.4,6.5,43.1,8.2,3425.72
246,안동찜닭,찜류,육류찜,1500,1364.21,114.2,38.8,139.5,66.8,5462.32
247,전어찜,찜류,어패류찜,100,278.22,17.28,22.97,0.6,0,447.4
248,조기찜,찜류,어패류찜,100,182.12,20.06,10.59,1.64,0,602.03
249,참꼬막,찜류,어패류찜,80,90.79,12.47,2.5,4.59,0,234.16
250,한방오리백숙,찜류,육류찜,300,469.53,68.79,20.1,3.36,0.35,276.43
251,해물찜,찜류,어패류찜,500,400.08,42.6,9.8,35.4,5.5,2137.21
252,홍어찜,찜류,어패류찜,250,202.67,47.12,1.03,1.22,1.22,644.96
253,갈낙탕,국 및 탕류,육류국.탕,400,261.77,35.8,12.8,0.8,1.3,847.97
254,곰탕,국 및 탕류,육류국.탕,300,183.25,19.4,3.7,18.1,0.5,716.36
255,광어매운탕,국 및 탕류,어패류국.탕,600,419.79,58.42,16.62,9.13,1.42,1799.02
256,낙지탕,국 및 탕류,어패류국.탕,600,187.8,29.4,3.2,10.4,1.9,1704.69
257,대구매운탕,국 및 탕류,어패류국.탕,600,361.75,57.36,7.21,16.84,1.09,1983.9
258,대구지리탕,국 및 탕류,어패류국.탕,600,262.02,41.6,6.2,9.9,1.5,1476.25
259,메기매운탕,국 및 탕류,어패류국.탕,600,400,28.6,10.2,48.6,5.7,1859.96
260,복지리탕,국 및 탕류,어패류국.탕,600,232.05,41.7,2.7,10.3,1.4,1349.98
261,소탕,국 및 탕류,육류국.탕,150,86.37,7.66,5.35,1.9,0.03,353.59
262,아구탕,국 및 탕류,어패류국.탕,600,246.07,37.8,4.9,12.8,1.8,1863.34
263,어탕,국 및 탕류,어패류국.탕,150,85.87,12.7,3.09,1.82,0,485.08
264,연포탕,국 및 탕류,어패류국.탕,1000,541.64,94.9,9.03,20.19,0.23,2337.46
265,우럭매운탕,국 및 탕류,어패류국.탕,600,406.82,52.15,17.03,11.24,1.08,1773.88
266,육탕,국 및 탕류,육류국.탕,150,87.63,12.66,3.95,0.35,0,356.94
267,전복탕,국 및 탕류,어패류국.탕,600,196.85,26.8,3,15.8,1.3,1774.4
268,조기매운탕,국 및 탕류,어패류국.탕,600,384.38,35.1,19.4,17.3,4.3,2272.92
269,짱뚱어탕,국 및 탕류,어패류국.탕,600,188.77,11.5,8.5,16.6,2.4,2050.9
270,추어탕,국 및 탕류,어패류국.탕,1000,316.72,22.7,13.2,26.8,0,2635.78
271,해물탕,국 및 탕류,어패류국.탕,600,267.81,39.8,4.7,16.6,0.8,2046.24
272,고구마맛탕,튀김류,채소류튀김,200,491,3.3,11,94.6,38.7,76.93
